DATE,HOLIDAY,WEEKDAY,WEATHERSIT,TEMP,ATEMP,HUMIDITY,WINDSPEED,CASUAL,REGISTERED
2012-01-06,NO,YES,1,9,7,50,12,307,3791
2012-01-07,NO,NO,1,10.5,9.5,45,13,1070,3451
2012-01-08,NO,NO,1,7,5.5,49,14,599,2826
2012-01-09,NO,YES,2,2,1,70,7,106,2270
2012-01-10,NO,YES,1,4,4,81,11,173,3425
2012-01-11,NO,YES,2,7,5,87,9,92,2085
2012-01-12,NO,YES,2,10,7.5,77,13,269,3828
2012-01-13,NO,YES,1,4,2,46,24,174,3040
2012-01-14,NO,NO,1,2,5,47,15,333,2160
2012-01-15,NO,NO,1,1,5,43,16,284,2027
2012-01-16,YES,YES,1,4,2,54,19.5,217,2081
2012-01-17,NO,YES,2,11.5,10,74,22,127,2808
2012-01-18,NO,YES,1,6,2.5,42,27,109,3267
2012-01-19,NO,YES,1,3,2,48,17,130,3162
2012-01-20,NO,YES,2,2,2,38,14,115,3048
2012-01-21,NO,NO,2,1,5,81,17,67,1234
2012-01-22,NO,NO,2,1,5,80,13,196,1781
2012-01-23,NO,YES,2,2,1,93,9,145,2287
2012-01-24,NO,YES,1,7,6,87,8,439,3900
2012-01-25,NO,YES,1,5.5,5,66,11,467,3803
2012-01-26,NO,YES,2,10,9.5,79,7,244,3831
2012-01-27,NO,YES,2,12,12,57,22,269,3187
2012-01-28,NO,NO,1,6,4,53.5,14,775,3248
2012-01-29,NO,NO,1,6,3,28.5,16,558,2685
2012-01-30,NO,YES,1,4.5,3,43,13,126,3498
2012-01-31,NO,YES,1,12,12,39.5,18,324,4185
2012-02-01,NO,YES,1,14,14,52,11,304,4275
2012-02-02,NO,YES,2,11,11,67,10,190,3571
2012-02-03,NO,YES,1,6.5,3.5,53,12,310,3841
2012-02-04,NO,NO,2,3,2,81,9,384,2448
2012-02-05,NO,NO,2,4,1,65,11,318,2629
2012-02-06,NO,YES,1,6,4,66,9,206,3578
2012-02-07,NO,YES,1,7.5,6.5,47.5,12,199,4176
2012-02-08,NO,YES,2,3,1,70,9,109,2693
2012-02-09,NO,YES,1,5,4,53,15,163,3667
2012-02-10,NO,YES,2,6,4,56,9,227,3604
2012-02-11,NO,NO,3,2,1,81,17,192,1977
2012-02-12,NO,NO,1,2,8,43,26,73,1456
2012-02-13,NO,YES,1,4,5.5,46,9,94,3328
2012-02-14,NO,YES,2,7.5,6.5,50,7,135,3787
2012-02-15,NO,YES,1,8,6,54,11,141,4028
2012-02-16,NO,YES,2,7,6,76,6,74,2931
2012-02-17,NO,YES,1,9,6.5,45.5,13,349,3805
2012-02-18,NO,NO,1,8.5,5.5,44,15,1435,2883
2012-02-19,NO,NO,2,4.5,2,52,17,618,2071
2012-02-20,YES,YES,1,4,4,48,15,502,2627
2012-02-21,NO,YES,1,7,3.5,65,14,163,3614
2012-02-22,NO,YES,1,12.5,12.5,57,18,394,4379
2012-02-23,NO,YES,1,13,13,55,13,516,4546
2012-02-24,NO,YES,2,11,11,79.5,12,246,3241
2012-02-25,NO,NO,1,6,2,40,28,317,2415
2012-02-26,NO,NO,1,4.5,3,42,15,515,2874
2012-02-27,NO,YES,1,11,11,45,17,253,4069
2012-02-28,NO,YES,1,8.5,7,39.5,9,229,4134
2012-02-29,NO,YES,2,9,6,87,9,65,1769
2012-03-01,NO,YES,1,14,14,50,15,325,4665
2012-03-02,NO,YES,2,9,7,71,11,246,2948
2012-03-03,NO,NO,2,11,11,51,11,956,3110
2012-03-04,NO,NO,1,7,2.5,42.5,21,710,2713
2012-03-05,NO,YES,1,3,1.5,54.5,14,203,3130
2012-03-06,NO,YES,1,5,4,48.5,15,221,3735
2012-03-07,NO,YES,1,13,13,57,22,432,4484
2012-03-08,NO,YES,1,19,19,51,30,486,4896
2012-03-09,NO,YES,2,10,7,34,26,447,4122
2012-03-10,NO,NO,1,4,3,41,17,968,3150
2012-03-11,NO,NO,1,10.5,10,50,15,1658,3253
2012-03-12,NO,YES,1,16.5,16.5,50,14,838,4460
2012-03-13,NO,YES,1,18.5,18.5,60,15,762,5085
2012-03-14,NO,YES,1,19,19,46,7,997,5315
2012-03-15,NO,YES,1,17,17,61.5,8,1005,5187
2012-03-16,NO,YES,2,13,13,88,6,548,3830
2012-03-17,NO,NO,2,17,17,77,7,3155,4681
2012-03-18,NO,NO,2,14,14,82,9,2207,3685
2012-03-19,NO,YES,1,19,19,72.5,11,982,5171
2012-03-20,NO,YES,1,18,18,83,9,1051,5042
2012-03-21,NO,YES,2,17,17,83,6,1122,5108
2012-03-22,NO,YES,1,19.5,19.5,80.5,6.5,1334,5537
2012-03-23,NO,YES,2,21,21,69,7,2469,5893
2012-03-24,NO,NO,2,16,16,94,13,1033,2339
2012-03-25,NO,NO,2,12,12,88,16,1532,3464
2012-03-26,NO,YES,1,13.5,13.5,32.5,30,795,4763
2012-03-27,NO,YES,1,7,5,31,13,531,4571
2012-03-28,NO,YES,1,18,18,46,20,674,5024
2012-03-29,NO,YES,1,15.5,15.5,44,20,834,5299
2012-03-30,NO,YES,2,9.5,8.5,57.5,10,796,4663
2012-03-31,NO,NO,2,11,11,76,17,2301,3934
2012-04-01,NO,NO,2,12.5,12.5,71.5,11,2347,3694
2012-04-02,NO,YES,1,13,13,44,20,1208,4728
2012-04-03,NO,YES,1,15.5,15.5,42,6,1348,5424
2012-04-04,NO,YES,1,19,19,46,13,1058,5378
2012-04-05,NO,YES,1,12,12,38,13,1192,5265
2012-04-06,NO,YES,1,11.5,11.5,35,21,1807,4653
2012-04-07,NO,NO,1,13.5,13.5,23.5,17,3252,3605
2012-04-08,NO,NO,1,16,16,25.5,15,2230,2939
2012-04-09,NO,YES,1,14.5,14.5,31,24,905,4680
2012-04-10,NO,YES,1,12.5,12.5,37.5,14,819,5099
2012-04-11,NO,YES,1,8,5,49,20,482,4380
2012-04-12,NO,YES,1,12,12,39.5,19,663,4746
2012-04-13,NO,YES,1,13,13,39.5,11,1252,5146
2012-04-14,NO,NO,1,18,18,52,11,2795,4665
2012-04-15,NO,NO,1,22.5,22.5,51,17,2846,4286
2012-04-16,YES,YES,1,24.5,24.5,55.5,17,1198,5172
2012-04-17,NO,YES,1,21,21,32.5,17,989,5702
2012-04-18,NO,YES,2,14,14,55,13,347,4020
2012-04-19,NO,YES,1,16.5,16.5,61,6,846,5719
2012-04-20,NO,YES,1,17.5,17.5,70.5,13,1340,5950
2012-04-21,NO,NO,1,17,17,77.5,18,2541,4083
2012-04-22,NO,NO,3,10,7,82,23,120,907
2012-04-23,NO,YES,2,7,4,76,22,195,3019
2012-04-24,NO,YES,1,13,13,37,16,518,5115
2012-04-25,NO,YES,1,16.5,16.5,46.5,6,655,5541
2012-04-26,NO,YES,2,16,16,80,12,475,4551
2012-04-27,NO,YES,1,13,13,38,23,1014,5219
2012-04-28,NO,NO,2,10,8.5,46.5,9,1120,3100
2012-04-29,NO,NO,1,14.5,14.5,55,9,2229,4075
2012-04-30,NO,YES,2,13,13,56,11,665,4907
2012-05-01,NO,YES,2,22.5,22.5,65,9,653,5087
2012-05-02,NO,YES,1,19,19,83,12,667,5502
2012-05-03,NO,YES,2,20,20,78,9,764,5657
2012-05-04,NO,YES,1,21.5,21.5,78,8,1069,5227
2012-05-05,NO,NO,2,21,21,78,9,2496,4387
2012-05-06,NO,NO,2,18.5,18.5,75,11,2135,4224
2012-05-07,NO,YES,2,18,18,62,15,1008,5265
2012-05-08,NO,YES,2,21,21,69,19,738,4990
2012-05-09,NO,YES,2,19,19,80,13,620,4097
2012-05-10,NO,YES,1,16,16,49,23,1026,5546
2012-05-11,NO,YES,1,18.5,18.5,36,17,1319,5711
2012-05-12,NO,NO,1,19.5,19.5,49,9,2622,4807
2012-05-13,NO,NO,1,22,22,57,14,2172,3946
2012-05-14,NO,YES,2,20,20,83,15,342,2501
2012-05-15,NO,YES,2,21.5,21.5,78,9,625,4490
2012-05-16,NO,YES,1,23,23,74,9,991,6433
2012-05-17,NO,YES,1,21,21,49,13,1242,6142
2012-05-18,NO,YES,1,20,20,47.5,9,1521,6118
2012-05-19,NO,NO,1,21.5,21,45,6,3410,4884
2012-05-20,NO,NO,1,23,23,52,22,2704,4425
2012-05-21,NO,YES,2,21,21,83,17,630,3729
2012-05-22,NO,YES,2,22,22,78,7,819,5254
2012-05-23,NO,YES,2,22,22,83,7,766,4494
2012-05-24,NO,YES,1,23,23,73,11,1059,5711
2012-05-25,NO,YES,1,24.5,25.5,78.5,9,1417,5317
2012-05-26,NO,NO,1,26,27,74,13,2855,3681
2012-05-27,NO,NO,1,24,24.5,74,15,3283,3308
2012-05-28,YES,YES,1,27,29,66,11,2557,3486
2012-05-29,NO,YES,1,26,28,70,20,880,4863
2012-05-30,NO,YES,2,23,24,69,9,745,6110
2012-05-31,NO,YES,1,24,24,47,13,1100,6238
2012-06-01,NO,YES,2,23,23,78,15,533,3594
2012-06-02,NO,NO,1,20,20,49,13,2795,5325
2012-06-03,NO,NO,1,22,21,45,12,2494,5147
2012-06-04,NO,YES,1,21,21,46.5,20,1071,5927
2012-06-05,NO,YES,2,18,18,56,13,968,6033
2012-06-06,NO,YES,1,18,18,68,6,1027,6028
2012-06-07,NO,YES,1,21,21,49.5,11,1038,6456
2012-06-08,NO,YES,1,24.5,24.5,44.5,11,1488,6248
2012-06-09,NO,NO,1,26,26.5,50.5,11,2708,4790
2012-06-10,NO,NO,1,27,28,58,8,2224,4374
2012-06-11,NO,YES,2,27,28,58,13,1017,5647
2012-06-12,NO,YES,2,24,25,88,13,477,4495
2012-06-13,NO,YES,1,23,23,51.5,26,1173,6248
2012-06-14,NO,YES,1,23,23,57,17,1180,6183
2012-06-15,NO,YES,1,23,23,53,11,1563,6102
2012-06-16,NO,NO,1,22.5,22.5,51.5,12,2963,4739
2012-06-17,NO,NO,1,20.5,20.5,58.5,11,2634,4344
2012-06-18,NO,YES,2,19.5,19.5,78,12,653,4446
2012-06-19,NO,YES,1,26,27.5,74,9,968,5857
2012-06-20,NO,YES,1,32,33,52,7,872,5339
2012-06-21,NO,YES,1,31.5,35,53.5,8,778,5127
2012-06-22,NO,YES,1,29,32,58,11,964,4859
2012-06-23,NO,NO,1,28,28,45.5,13,2657,4801
2012-06-24,NO,NO,1,29,29,51,9,2551,4340
2012-06-25,NO,YES,1,26,27,45,20,1139,5640
2012-06-26,NO,YES,1,22.5,21.5,35.5,24,1077,6365
2012-06-27,NO,YES,1,26.5,26.5,38,19.5,1077,6258
2012-06-28,NO,YES,1,28,28,48,11,921,5958
2012-06-29,NO,YES,1,33,38.5,52,13,829,4634
2012-06-30,NO,NO,1,30,33,62,10,1455,4232
2012-07-01,NO,NO,1,32,33,44,9,1421,4110
2012-07-02,NO,YES,1,29,30,51,13,904,5323
2012-07-03,NO,YES,1,28.5,30,54.5,9,1052,5608
2012-07-04,YES,YES,1,31.5,32.5,51.5,9,2562,4841
2012-07-05,NO,YES,1,33,36,47.5,14,1405,4836
2012-07-06,NO,YES,1,32,33.5,39.5,9,1366,4841
2012-07-07,NO,NO,1,34,38.5,46.5,11,1448,3392
2012-07-08,NO,NO,1,31,36,59,7,1203,3469
2012-07-09,NO,YES,2,26,28,65,11,998,5571
2012-07-10,NO,YES,2,26,27,74,9,954,5336
2012-07-11,NO,YES,1,27,28,58,10,975,6289
2012-07-12,NO,YES,1,27,27,51,9,1032,6414
2012-07-13,NO,YES,2,28,28,48,7,1511,5988
2012-07-14,NO,NO,2,26,28,74,7,2355,4614
2012-07-15,NO,NO,1,27,30,79,9,1920,4111
2012-07-16,NO,YES,1,29,31.5,64,8,1088,5742
2012-07-17,NO,YES,1,32,34,50.5,8,921,5865
2012-07-18,NO,YES,1,29,31,62,9,799,4914
2012-07-19,NO,YES,1,29,31,58,9,888,5703
2012-07-20,NO,YES,2,24,25,83.5,11,747,5123
2012-07-21,NO,NO,3,21,21,88,17,1264,3195
2012-07-22,NO,NO,2,24,24,74,7,2544,4866
2012-07-23,NO,YES,1,28.5,31,62,9,1135,5831
2012-07-24,NO,YES,1,28,30.5,64,14,1140,6452
2012-07-25,NO,YES,1,27,27,41,11,1383,6790
2012-07-26,NO,YES,1,27.5,30,65.5,17,1036,5825
2012-07-27,NO,YES,1,30,33,59,10,1259,5645
2012-07-28,NO,NO,1,28,30,66,11,2234,4451
2012-07-29,NO,NO,1,27,28.5,65.5,11,2153,4444
2012-07-30,NO,YES,1,27,29,70,11,1040,6065
2012-07-31,NO,YES,1,26,27.5,72,11,968,6248
2012-08-01,NO,YES,1,27,29,70,9,1074,6506
2012-08-02,NO,YES,1,29,32,66,8,983,6278
2012-08-03,NO,YES,2,29,32.5,66,15,1328,5847
2012-08-04,NO,NO,1,30.5,34.5,62.5,17,2345,4479
2012-08-05,NO,NO,1,28,31,70,17,1707,3757
2012-08-06,NO,YES,2,28,31,70,9,1233,5780
2012-08-07,NO,YES,2,27,30,70,9,1278,5995
2012-08-08,NO,YES,2,28,30.5,66,8,1263,6271
2012-08-09,NO,YES,1,27,29,58,11,1196,6090
2012-08-10,NO,YES,2,27,29,70,19,1065,4721
2012-08-11,NO,NO,2,24,25,78,13,2247,4052
2012-08-12,NO,NO,1,26,26,51,9,2182,4362
2012-08-13,NO,YES,1,27.5,28.5,60,7,1207,5676
2012-08-14,NO,YES,1,27,29,70,13,1128,5656
2012-08-15,NO,YES,1,26,27,61,13,1198,6149
2012-08-16,NO,YES,1,27.5,28,49.5,11,1338,6267
2012-08-17,NO,YES,1,25.5,26,58,14,1483,5665
2012-08-18,NO,NO,1,24,24,61,13,2827,5038
2012-08-19,NO,NO,2,23,23,73,7,1208,3341
2012-08-20,NO,YES,2,22,22,78,8,1026,5504
2012-08-21,NO,YES,1,23,23,74,3,1081,5925
2012-08-22,NO,YES,1,23,23.5,74,0,1094,6281
2012-08-23,NO,YES,1,26,27,61,6,1363,6402
2012-08-24,NO,YES,2,26,27,61.5,3,1325,6257
2012-08-25,NO,NO,2,24,24,74,18,1829,4224
2012-08-26,NO,NO,2,23,24,89,15,1483,3772
2012-08-27,NO,YES,1,27,29,74,9,989,5928
2012-08-28,NO,YES,1,26.5,27.5,56,12,935,6105
2012-08-29,NO,YES,1,24.5,24.5,54,9,1177,6520
2012-08-30,NO,YES,1,26.5,27.5,61.5,6.5,1172,6541
2012-08-31,NO,YES,1,29,31,62,11,1433,5917
2012-09-01,NO,NO,2,29,31,60,8,2352,3788
2012-09-02,NO,NO,2,26,27.5,84,6,2613,3197
2012-09-03,YES,YES,1,26,28,83,9,1965,4069
2012-09-04,NO,YES,1,28,31,74,17,867,5997
2012-09-05,NO,YES,1,27,30,74,13,832,6280
2012-09-06,NO,YES,2,26,28,84,10,611,5592
2012-09-07,NO,YES,1,26,28,74,9,1045,6459
2012-09-08,NO,NO,2,24,25,88,17,1557,4419
2012-09-09,NO,NO,1,21.5,21,50.5,17,2570,5657
2012-09-10,NO,YES,1,21,21,50,19,1118,6407
2012-09-11,NO,YES,1,19.5,19.5,57.5,7,1070,6697
2012-09-12,NO,YES,1,21,21,62.5,9,1050,6820
2012-09-13,NO,YES,1,21.5,21.5,67,6,1054,6750
2012-09-14,NO,YES,1,22,22,73,7,1379,6630
2012-09-15,NO,NO,1,21,21,46,18,3160,5554
2012-09-16,NO,NO,1,20.5,20.5,58.5,7,2166,5167
2012-09-17,NO,YES,2,22,22,73,11,1022,5847
2012-09-18,NO,YES,2,22,23,88,21,371,3702
2012-09-19,NO,YES,1,18,18,59,17,788,6803
2012-09-20,NO,YES,1,19,19,63.5,7,939,6781
2012-09-21,NO,YES,1,21,21,69,12,1250,6917
2012-09-22,NO,NO,1,23,23,58,19,2512,5883
2012-09-23,NO,NO,1,17,17,47.5,16,2454,5453
2012-09-24,NO,YES,1,16.5,16.5,52,9,1001,6435
2012-09-25,NO,YES,1,21,21,57,17,845,6693
2012-09-26,NO,YES,1,22,22,64,17,787,6946
2012-09-27,NO,YES,2,21,21,78,6,751,6642
2012-09-28,NO,YES,2,21.9,22.5,68.6,10.72,1045,6370
2012-09-29,NO,NO,1,17.9,18.3,55.6,14.56,2589,5966
2012-09-30,NO,NO,1,17.3,17.8,57.9,10.4,2015,4874
2012-10-01,NO,YES,2,17.1,16.9,65.1,6.24,763,6015
2012-10-02,NO,YES,3,20.9,20.3,89.5,7.52,315,4324
2012-10-03,NO,YES,2,23.3,24.2,83,4.64,728,6844
2012-10-04,NO,YES,2,23.7,23.9,73.3,8,891,6437
2012-10-05,NO,YES,1,21.8,22.2,62.5,7.36,1516,6640
2012-10-06,NO,NO,1,18.7,19.2,66.1,17.76,3031,4934
2012-10-07,NO,NO,2,11.6,11.1,73.2,10.08,781,2729
2012-10-08,YES,YES,2,10.1,9.7,71.8,12.64,874,4604
2012-10-09,NO,YES,2,12.8,13.3,77.1,12.96,601,5791
2012-10-10,NO,YES,1,16,17.2,69.6,10.4,780,6911
2012-10-11,NO,YES,1,12.9,13.3,45.6,12.96,834,6736
2012-10-12,NO,YES,1,12.9,13.6,54,15.68,1060,6222
2012-10-13,NO,NO,1,10.6,10.6,50,10.88,2252,4857
2012-10-14,NO,NO,1,17.2,17.5,63.6,18.4,2080,4559
2012-10-15,NO,YES,2,19.4,18.1,71.6,18.72,760,5115
2012-10-16,NO,YES,1,14.4,14.4,55.8,12,922,6612
2012-10-17,NO,YES,1,14,14.7,68.3,6.72,979,6482
2012-10-18,NO,YES,2,16.9,16.9,72.8,15.68,1008,6501
2012-10-19,NO,YES,2,19.3,19.2,82.1,9.28,753,4671
2012-10-20,NO,NO,1,15.3,15.3,57.2,8.8,2806,5284
2012-10-21,NO,NO,1,14.2,14.4,51.1,11.04,2132,4692
2012-10-22,NO,YES,1,15.6,15.8,55.3,5.92,830,6228
2012-10-23,NO,YES,1,18.7,18.1,62.9,6.08,841,6625
2012-10-24,NO,YES,1,20.4,21.7,63.4,4.8,795,6898
2012-10-25,NO,YES,2,18.2,19.4,81.4,9.28,875,6484
2012-10-26,NO,YES,2,18.2,19.2,81.4,9.28,1182,6262
2012-10-27,NO,NO,2,17.3,18.1,72.2,15.84,2643,5209
2012-10-28,NO,NO,2,14.7,14.4,69.3,26.88,998,3461
2012-10-29,NO,YES,3,10.6,10.6,84.5,40.16,2,20
2012-10-30,NO,YES,2,6.3,6.7,85.6,21.12,87,1009
2012-10-31,NO,YES,2,8.8,8.9,68.7,10.88,419,5147
2012-11-01,NO,YES,2,9.3,8.6,57.8,10.24,466,5520
2012-11-02,NO,YES,1,8.8,8.9,52.2,18.4,618,5229
2012-11-03,NO,NO,2,8.2,8.1,50,18.24,1029,4109
2012-11-04,NO,NO,1,7.2,7.5,54.1,12.32,1201,3906
2012-11-05,NO,YES,1,6.8,6.7,49.6,15.52,378,4881
2012-11-06,NO,YES,1,5.1,5,57.3,12,466,5220
2012-11-07,NO,YES,2,5.7,5.6,55.7,20.32,326,4709
2012-11-08,NO,YES,1,8.4,9.2,34.6,23.84,340,4975
2012-11-09,NO,YES,1,9.1,8.9,55.8,13.76,709,5283
2012-11-10,NO,NO,1,10.5,10.6,64.9,3.84,2090,4446
2012-11-11,NO,NO,1,12.2,13.6,66,8.64,2290,4562
2012-11-12,YES,YES,1,15.6,15.6,74.3,12.32,1097,5172
2012-11-13,NO,YES,2,7.8,8.9,69.9,22.88,327,3767
2012-11-14,NO,YES,1,5.4,5.6,56,12.96,373,5122
2012-11-15,NO,YES,2,7.1,6.9,61.9,10.24,320,5125
2012-11-16,NO,YES,1,8.2,8.9,52.7,11.52,484,5214
2012-11-17,NO,NO,1,7.3,7.2,54.9,12,1313,4316
2012-11-18,NO,NO,1,8.2,8.3,69.7,15.36,922,3747
2012-11-19,NO,YES,2,9.9,10.3,62.9,15.04,449,5050
2012-11-20,NO,YES,2,9.7,10.6,69.2,5.44,534,5100
2012-11-21,NO,YES,1,8.7,9.2,61.3,7.2,615,4531
2012-11-22,YES,YES,1,7.9,8.6,58.4,3.52,955,1470
2012-11-23,NO,YES,1,9.7,9.2,55.9,10.72,1603,2307
2012-11-24,NO,NO,1,4.6,5.3,41.1,24.64,532,1745
2012-11-25,NO,NO,1,3.2,3.6,48.8,9.76,309,2115
2012-11-26,NO,YES,1,6.9,6.7,53.6,3.36,337,4750
2012-11-27,NO,YES,2,5.5,5,80.1,16.48,123,3836
2012-11-28,NO,YES,1,5.8,6.1,49.8,13.6,198,5062
2012-11-29,NO,YES,1,7,5.5,46.5,10,243,5080
2012-11-30,NO,YES,1,2,2,76,0,362,5306
2012-12-01,NO,NO,2,5.7,5,81.9,4.8,951,4240
2012-12-02,NO,NO,2,12,12,82,9,892,3757
2012-12-03,NO,YES,1,15.5,15.5,72.5,7,555,5679
2012-12-04,NO,YES,1,15,15,68,13,551,6055
2012-12-05,NO,YES,1,13,13,47,19,331,5398
2012-12-06,NO,YES,1,3,2.5,52,12,340,5035
2012-12-07,NO,YES,2,7.5,5.5,76,9,349,4659
2012-12-08,NO,NO,2,10,9.5,94,7,1153,4429
2012-12-09,NO,NO,2,11,11,88,9,441,2787
2012-12-10,NO,YES,2,13,13,94,15,329,4841
2012-12-11,NO,YES,2,8,5,60,21,282,5219
2012-12-12,NO,YES,2,6,3,55,14,310,5009
2012-12-13,NO,YES,1,5,4,53,13,425,5107
2012-12-14,NO,YES,1,5,4,70,7,429,5182
2012-12-15,NO,NO,1,9,7,62,7,767,4280
2012-12-16,NO,NO,2,9,8,87,7,538,3248
2012-12-17,NO,YES,2,11,11,91,7,212,4373
2012-12-18,NO,YES,1,11.5,11.5,62,14,433,5124
2012-12-19,NO,YES,1,7,5,62,9,333,4934
2012-12-20,NO,YES,2,8,6,71,11,314,3814
2012-12-21,NO,YES,2,7,3,45,26,221,3402
2012-12-22,NO,NO,1,4,1,45,28,205,1544
2012-12-23,NO,NO,1,3,3,51,9,408,1379
2012-12-24,NO,YES,2,3,1,80,6,174,746
2012-12-25,YES,YES,2,5.5,3.5,73.5,11,440,573
2012-12-26,NO,YES,3,2.5,3,87,22,9,432
2012-12-27,NO,YES,2,3,1,60,21,247,1867
2012-12-28,NO,YES,2,3,1,60,9,644,2451
2012-12-29,NO,NO,2,3,2,75,6,159,1182
2012-12-30,NO,NO,1,4,1,51,24,364,1432
2012-12-31,NO,YES,2,3,2,59,11,439,2290
